id,latitude,longitude,track_id,time
1,-10.93934139,-37.06274211,101,9/13/2020 7:24
2,-10.93934139,-37.06274211,101,9/13/2020 7:24
3,-10.93932395,-37.06276451,101,9/13/2020 7:24
4,-10.93921056,-37.06284305,101,9/13/2020 7:24
5,-10.93893898,-37.0628786,101,9/13/2020 7:24
6,-10.93854359,-37.06283866,101,9/13/2020 7:24
7,-10.93834606,-37.06258756,101,9/13/2020 7:24
8,-10.93844845,-37.06199983,101,9/13/2020 7:24
9,-10.93866607,-37.06149893,101,9/13/2020 7:24
10,-10.93898623,-37.06081922,101,9/13/2020 7:24
11,-10.93934291,-37.0600867,101,9/13/2020 7:24
12,-10.93964144,-37.0595031,101,9/13/2020 7:25
13,-10.93985791,-37.05912132,101,9/14/2020 7:25
14,-10.94007729,-37.058729,101,9/14/2020 7:25
15,-10.9403891,-37.05829088,101,9/14/2020 7:25
16,-10.94074638,-37.05799223,101,9/14/2020 7:25
17,-10.94117939,-37.05763973,101,9/14/2020 7:25
18,-10.9414799,-37.05739138,101,9/14/2020 7:25
19,-10.94153251,-37.05734578,101,9/14/2020 7:25
20,-10.94153251,-37.05734578,101,9/14/2020 7:25
21,-10.94153251,-37.05734578,102,9/14/2020 7:25
22,-10.94153251,-37.05734578,102,9/14/2020 7:25
23,-10.94153251,-37.05734578,102,9/14/2020 7:25
24,-10.94153251,-37.05734578,102,9/14/2020 7:25
25,-10.94153251,-37.05734578,102,9/17/2020 7:26
26,-10.94153251,-37.05734578,102,9/17/2020 7:26
27,-10.94154221,-37.05733795,102,9/17/2020 7:26
28,-10.94174227,-37.05716593,102,9/17/2020 7:26
29,-10.94210007,-37.05683316,102,9/17/2020 7:26
30,-10.9424436,-37.05655106,102,9/17/2020 7:26
31,-10.94278328,-37.05636722,102,9/17/2020 7:26
32,-10.9430484,-37.05620079,102,9/17/2020 7:26
33,-10.94308963,-37.05587927,102,9/17/2020 7:26
34,-10.9431571,-37.0552885,102,9/17/2020 7:26
35,-10.94331306,-37.05466451,102,9/17/2020 7:26
36,-10.94349345,-37.05399063,102,9/17/2020 7:26
37,-10.94373073,-37.05313336,102,9/17/2020 7:26
38,-10.94394907,-37.05233639,102,9/17/2020 7:26
39,-10.94408881,-37.05191634,102,9/17/2020 7:26
40,-10.94411344,-37.05184472,103,9/17/2020 7:26
41,-10.94416466,-37.05164506,103,9/23/2020 7:27
42,-10.9442224,-37.05127819,103,9/23/2020 7:27
43,-10.94411038,-37.05104354,103,9/23/2020 7:27
44,-10.94371495,-37.05100033,103,9/23/2020 7:27
45,-10.94319179,-37.05099926,103,9/23/2020 7:27
